driverId,circuitId,lap,statusId,position_lap,driver_name
822,73,45,11,18,Valtteri Bottas
4,73,4,1,6,Fernando Alonso
1,9,41,1,3,Lewis Hamilton
855,3,32,11,10,Guanyu Zhou
4,3,39,1,10,Fernando Alonso
825,11,19,11,18,Kevin Magnussen
847,39,51,1,3,George Russell
832,9,44,1,1,Carlos Sainz
852,32,23,130,11,Yuki Tsunoda
822,79,7,1,10,Valtteri Bottas
839,70,17,11,14,Esteban Ocon
855,13,24,1,12,Guanyu Zhou
4,15,15,5,6,Fernando Alonso
848,21,23,11,12,Alexander Albon
848,13,19,1,11,Alexander Albon
842,77,43,1,8,Pierre Gasly
848,73,14,11,17,Alexander Albon
846,73,31,1,12,Lando Norris
4,4,34,1,8,Fernando Alonso
815,11,19,1,2,Sergio Pérez
815,11,27,1,6,Sergio Pérez
807,9,24,1,19,Nico Hülkenberg
822,18,43,1,5,Valtteri Bottas
839,69,3,1,18,Esteban Ocon
840,21,16,11,10,Lance Stroll
815,6,13,1,3,Sergio Pérez
807,77,14,1,17,Nico Hülkenberg
830,73,35,1,2,Max Verstappen
822,18,36,1,5,Valtteri Bottas
4,69,51,1,6,Fernando Alonso
854,70,60,11,6,Mick Schumacher
840,6,8,3,17,Lance Stroll
844,6,9,1,6,Charles Leclerc
846,3,51,1,17,Lando Norris
854,73,30,11,16,Mick Schumacher
825,14,26,11,19,Kevin Magnussen
830,73,5,1,3,Max Verstappen
856,79,27,1,19,Nyck de Vries
846,6,1,1,5,Lando Norris
822,18,19,1,6,Valtteri Bottas
1,15,22,1,4,Lewis Hamilton
840,73,47,1,7,Lance Stroll
857,6,45,11,11,Oscar Piastri
854,1,56,11,13,Mick Schumacher
817,32,60,11,8,Daniel Ricciardo
849,6,42,11,17,Nicholas Latifi
856,7,67,11,18,Nyck de Vries
858,3,24,11,13,Logan Sargeant
856,77,31,1,15,Nyck de Vries
844,6,60,1,6,Charles Leclerc
848,34,13,1,13,Alexander Albon
830,21,57,1,1,Max Verstappen
846,21,37,1,4,Lando Norris
822,1,34,1,16,Valtteri Bottas
847,21,30,1,5,George Russell
852,32,14,130,11,Yuki Tsunoda
839,7,43,1,5,Esteban Ocon
830,77,21,1,4,Max Verstappen
839,73,27,1,9,Esteban Ocon
855,77,32,1,14,Guanyu Zhou
854,18,70,1,14,Mick Schumacher
854,39,37,1,18,Mick Schumacher
830,77,32,1,2,Max Verstappen
848,3,6,1,12,Alexander Albon
840,6,51,1,14,Lance Stroll
839,70,14,1,3,Esteban Ocon
825,70,15,11,12,Kevin Magnussen
855,1,40,1,13,Guanyu Zhou
4,3,53,1,3,Fernando Alonso
839,21,5,11,13,Esteban Ocon
817,73,27,1,6,Daniel Ricciardo
855,11,45,11,15,Guanyu Zhou
842,13,9,1,16,Pierre Gasly
848,73,35,1,14,Alexander Albon
807,4,51,11,15,Nico Hülkenberg
848,9,51,1,8,Alexander Albon
839,24,57,1,7,Esteban Ocon
815,79,51,1,4,Sergio Pérez
832,11,50,1,5,Carlos Sainz
852,79,7,1,12,Yuki Tsunoda
840,24,33,1,9,Lance Stroll
847,11,3,1,1,George Russell
822,73,34,11,12,Valtteri Bottas
847,15,19,12,16,George Russell
846,22,11,1,9,Lando Norris
1,70,59,1,7,Lewis Hamilton
842,13,11,1,18,Pierre Gasly
840,11,48,11,12,Lance Stroll
844,69,12,1,6,Charles Leclerc
854,69,9,1,16,Mick Schumacher
849,21,37,11,15,Nicholas Latifi
839,3,48,1,9,Esteban Ocon
822,11,24,11,11,Valtteri Bottas
847,69,18,1,6,George Russell
855,13,41,1,14,Guanyu Zhou
839,70,16,1,5,Esteban Ocon
856,3,7,11,19,Nyck de Vries
832,13,44,1,3,Carlos Sainz
825,14,50,11,16,Kevin Magnussen
844,70,2,1,2,Charles Leclerc
848,34,51,1,13,Alexander Albon
852,6,48,11,15,Yuki Tsunoda
807,3,43,1,20,Nico Hülkenberg
20,32,14,11,14,Sebastian Vettel
847,6,49,1,3,George Russell
825,4,16,12,20,Kevin Magnussen
822,34,21,1,14,Valtteri Bottas
858,13,31,1,17,Logan Sargeant
840,32,8,11,15,Lance Stroll
